Libre -> Gris
Date : 22-01-2016 15:07:06
Temps   Vitesse
15:07:06 0
15:07:07 0
15:07:07 0
15:07:08 0
15:07:08 0
15:07:09 0
15:07:09 0
15:07:10 0
15:07:10 0
15:07:11 0
15:07:11 0
15:07:12 0
15:07:12 0
15:07:13 0
15:07:13 0
15:07:14 0
15:07:14 0
15:07:15 0
15:07:15 0
15:07:16 0
15:07:16 0
15:07:17 0
15:07:17 0
15:07:18 0
15:07:18 0
15:07:19 0
15:07:19 0
15:07:20 0
15:07:20 0
15:07:21 0
15:07:21 0
15:07:22 0
15:07:22 0
15:07:23 0
15:07:23 0
15:07:24 0
15:07:24 0
15:07:25 0
15:07:25 0
15:07:26 0
15:07:26 0
15:07:27 0
15:07:27 0
15:07:28 0
15:07:28 0
15:07:29 0
15:07:29 0
15:07:30 0
15:07:30 0
15:07:31 0
15:07:31 0
15:07:32 0
15:07:32 0
15:07:33 0
15:07:33 0
15:07:34 0
15:07:34 0
15:07:35 0
15:07:35 0
15:07:36 0
15:07:36 0
15:07:37 0
15:07:37 0
15:07:38 0
15:07:38 0
15:07:39 0
15:07:39 0
15:07:40 0
15:07:40 0
15:07:41 0
15:07:41 0
15:07:42 0
15:07:42 0
15:07:43 0
15:07:43 0
15:07:44 0
15:07:44 0
15:07:45 0
15:07:45 0
15:07:46 0
15:07:46 0
15:07:47 0
15:07:47 0
15:07:48 0
15:07:48 0
15:07:49 0
15:07:49 0
15:07:50 0
15:07:50 0
15:07:58 0
15:07:59 16274
15:07:59 31651
15:08:00 83271
15:08:00 121695
15:08:01 123433
15:08:01 118080
15:08:02 115451
15:08:02 135260
15:08:03 130249
15:08:03 118455
15:08:04 106821
15:08:04 134269
15:08:05 136337
15:08:05 125196
15:08:06 122641
15:08:06 122944
15:08:07 122533
15:08:07 121001
15:08:08 122406
15:08:08 124219
15:08:09 128715
15:08:09 127959
15:08:10 126053
15:08:10 119223
15:08:11 119961
15:08:11 118114
15:08:12 126940
15:08:12 127408
15:08:13 122229
15:08:13 122353
15:08:14 131974
15:08:14 130105
15:08:15 125305
15:08:15 136301
15:08:16 134482
15:08:16 135611
15:08:17 138190
15:08:19 0
15:08:19 119450
15:08:20 129490
15:08:20 189648
15:08:21 186746
15:08:21 207639
15:08:22 215676
15:08:22 208372
15:08:23 198309
15:08:23 193055
15:08:24 203021
15:08:24 206454
15:08:25 204237
15:08:25 188564
15:08:26 183013
15:08:26 189635
15:09:50 0
15:09:51 0
15:09:51 0
15:09:52 0
15:09:52 0
15:09:53 0
15:09:53 0
15:09:54 0
15:10:33 0
15:10:33 32120
15:10:34 8739
15:10:34 1198
15:10:35 166
15:10:35 19
15:10:36 19
15:10:36 0
15:10:37 0
15:10:37 0
15:10:38 0
15:10:38 0
15:10:39 0
15:10:39 0
15:10:59 0
15:11:00 23422
15:11:00 12193
15:11:01 1852
15:11:01 251
15:11:02 32
15:11:02 0
15:11:03 0
15:11:03 0
15:11:04 0
15:11:04 0
15:11:05 5
15:11:05 0
15:11:07 0
15:11:07 21897
15:11:08 12381
15:11:08 1725
15:11:09 237
15:11:22 0
15:11:22 21234
15:11:23 25836
15:11:23 5310
15:11:24 1711
15:11:24 290
15:11:35 0
15:11:35 20342
15:11:36 50754
15:11:36 164875
15:11:37 183432
15:11:37 176478
15:11:38 172107
15:11:38 171962
15:11:39 179227
15:11:39 178899
15:11:40 168374
15:12:03 0
15:12:03 34956
15:12:04 54502
15:12:04 112096
15:12:05 140693
15:12:05 145112
15:12:06 156890
15:12:06 158172
15:12:07 145903
15:12:07 125540
15:12:08 123491
15:12:08 132807
15:12:09 132596
15:12:09 137534
15:12:20 0
15:12:21 31028
15:12:21 26393
15:12:22 3682
15:12:22 559
15:12:23 73
15:12:23 7
15:12:25 0
15:12:26 18570
15:12:26 32511
15:12:27 4674
15:12:27 680
15:12:28 91
15:12:28 9
15:12:29 0
15:12:29 10636
15:12:30 51932
15:12:30 51532
15:12:31 21392
15:12:31 3026
15:12:32 419
15:12:32 55
15:12:47 0
15:12:47 24167
15:12:48 32854
15:12:48 4584
15:12:49 647
15:12:49 106
15:12:50 11
15:12:50 0
15:13:04 0
15:13:04 22577
15:13:05 41518
15:13:05 7526
15:13:06 2801
15:13:06 716
15:13:07 96
15:13:07 10
15:13:08 0
15:13:23 -405
15:13:24 39993
15:13:24 34904
15:13:25 76477
15:13:25 76854
15:13:26 72192
15:13:26 74454
15:13:27 76711
15:13:27 95691
15:13:28 104059
15:13:28 106245
15:13:29 101315
15:13:29 85238
15:13:30 94884
15:13:30 89917
15:13:31 86453
15:13:31 51497
15:13:32 8666
15:13:32 1206
15:13:33 165
15:13:33 19
15:13:34 0
15:13:34 0
15:13:35 0
15:13:35 0
15:13:36 0
15:13:48 0
15:13:48 19620
15:13:49 41311
15:13:49 13141
15:13:50 2865
15:13:50 5909
15:13:51 18350
15:13:51 35042
15:13:52 62533
15:13:52 113141
15:13:53 127766
15:13:53 131540
15:13:54 127946
15:13:54 136720
15:13:55 133065
15:13:55 109374
15:13:56 130913
15:13:56 129370
15:15:00 0
15:15:00 62345
15:15:01 21579
15:15:01 3651
15:15:02 515
15:15:02 68
15:15:03 6
15:15:03 19
15:15:04 6176
15:15:04 56254
15:15:05 116283
15:15:05 161132
15:15:06 161887
15:15:06 161243
15:15:07 177713
15:15:07 173016
15:15:08 173712
15:15:08 178612
15:15:09 167379
15:15:09 160586
15:15:10 121036
15:15:10 29601
15:15:11 4387
15:15:11 634
15:15:12 94
15:15:12 54
15:15:13 0
15:15:13 0
15:15:14 0
15:15:14 0
15:15:15 0
15:15:15 0
15:15:16 0
15:15:16 0
15:15:17 0
15:15:17 0
15:15:18 0
15:15:18 0
15:15:19 0
15:15:19 0
15:15:20 0
15:15:20 0
15:15:21 0
15:15:21 0
15:15:22 0
15:15:22 0
15:15:23 0
15:15:23 0
15:15:24 0
15:15:24 0
15:15:25 0
15:15:25 0
15:15:26 0
15:15:26 0
15:15:27 0
15:15:27 0
15:15:28 0
15:15:28 0
15:15:29 0
15:15:29 0
15:15:30 0
15:15:30 0
15:15:31 0
15:15:31 0
15:15:32 0
15:15:32 0
15:15:33 0
15:15:33 0
15:15:34 0
15:15:34 0
15:15:35 0
15:15:35 0
15:15:36 0
15:15:36 0
15:15:37 0
15:15:37 0
15:15:38 0
15:15:38 0
15:15:39 0
15:15:39 0
15:15:40 0
15:15:40 0
15:15:41 0
15:15:41 0
15:15:42 0
15:15:42 0
15:15:43 0
15:15:43 0
15:15:44 0
15:15:44 0
