TransCouple -> Gris
Date : 22-01-2016 15:32:21
Temps   Vitesse
15:32:21 0
15:32:21 0
15:32:22 0
15:32:22 0
15:32:22 0
15:32:22 0
15:32:23 0
15:32:23 0
15:32:23 0
15:32:23 0
15:32:24 0
15:32:24 0
15:32:24 0
15:32:24 0
15:32:25 0
15:32:25 0
15:32:25 0
15:32:25 0
15:32:26 0
15:32:26 0
15:32:26 0
15:32:26 0
15:32:27 0
15:32:27 0
15:32:27 0
15:32:27 0
15:32:28 0
15:32:28 0
15:32:28 0
15:32:28 0
15:32:29 0
15:32:29 0
15:32:29 0
15:32:29 0
15:32:30 0
15:32:30 0
15:32:30 0
15:32:30 0
15:32:31 136416
15:32:31 150261
15:32:31 241097
15:32:31 260965
15:32:32 262466
15:32:32 273840
15:32:32 250880
15:32:32 248246
15:32:33 242674
15:32:33 245051
15:32:33 247138
15:32:33 247503
15:32:34 240861
15:32:34 240937
15:32:34 233523
15:32:34 237013
15:32:35 228472
15:32:35 229875
15:32:35 232087
15:32:35 231547
15:32:36 228364
15:32:36 231976
15:32:36 221415
15:32:36 225419
15:32:37 225354
15:32:37 228546
15:32:37 234972
15:32:37 235636
15:32:38 239852
15:32:38 244148
15:32:38 240738
15:32:38 243008
15:32:39 247437
15:32:39 248179
15:32:39 253825
15:32:39 260814
15:32:40 259900
15:32:40 259562
15:32:40 258158
15:32:40 260782
15:32:41 259197
15:32:41 261003
15:32:41 259385
15:32:41 261737
15:32:42 261122
15:32:42 265166
15:32:42 255951
15:32:42 255445
15:32:43 253777
15:32:43 257306
15:32:43 260403
15:32:43 260908
15:32:44 258139
15:32:44 260480
15:32:44 257855
15:32:44 256878
15:32:45 250908
15:32:45 253084
15:32:45 247219
15:32:45 248162
15:32:46 237772
15:32:46 236080
15:32:46 229841
15:32:46 233147
15:32:47 234318
15:32:47 240412
15:32:47 232411
15:32:47 232135
15:32:48 219392
15:32:48 216185
15:32:48 216455
15:32:48 217732
15:32:49 224304
15:32:49 227074
15:32:49 227201
15:32:49 229551
15:32:50 230369
15:32:50 233270
15:32:50 227344
15:32:50 226264
15:32:51 226880
15:32:51 228795
15:32:51 227098
15:32:51 231059
15:32:52 230419
15:32:52 234070
15:32:52 226778
15:32:52 228412
15:32:53 220145
15:32:53 220531
15:32:53 211480
15:32:53 211439
15:32:54 214776
15:32:54 216712
15:32:54 218725
15:32:54 220044
15:32:55 202431
15:32:55 199348
15:32:55 196091
15:32:55 195848
15:32:56 197494
15:32:56 198501
15:32:56 215413
15:32:56 220237
15:32:57 222364
15:32:57 227085
15:32:57 213484
15:32:57 215627
15:32:58 205593
15:32:58 209054
15:32:58 208208
15:32:58 213937
15:32:59 212041
15:32:59 215675
15:32:59 204567
15:32:59 205888
15:33:00 190611
15:33:00 195576
15:33:00 196619
15:33:00 201103
15:33:01 211230
15:33:01 222788
15:33:01 227040
15:33:01 233028
15:33:02 221060
15:33:02 220678
15:33:02 211691
15:33:02 210694
15:33:03 211513
15:33:03 213647
15:33:03 221212
15:33:03 228141
15:33:04 228503
15:33:04 237072
15:33:04 222230
15:33:04 223550
15:33:05 212888
15:33:05 212662
15:33:05 197711
15:33:05 200725
15:33:06 196607
15:33:06 199868
15:33:06 203170
15:33:06 207410
15:33:07 193724
15:33:07 195862
15:33:07 188942
15:33:07 192816
15:33:08 187232
15:33:08 192851
15:33:08 206591
15:33:08 213354
15:33:09 213058
15:33:09 216342
15:33:09 206145
15:33:09 210991
15:33:10 197511
15:33:10 200830
15:33:10 204921
15:33:10 211781
15:33:11 217599
15:33:11 224927
15:33:11 225020
15:33:11 229441
15:33:12 225079
15:33:12 226947
15:33:12 221317
15:33:12 220639
15:33:13 224630
15:33:13 225387
15:33:13 224759
15:33:13 228699
15:33:14 221145
15:33:14 224831
15:33:14 221786
15:33:14 222181
15:33:15 222745
15:33:15 225175
15:33:15 229367
15:33:15 233170
15:33:16 226197
15:33:16 232759
15:33:16 224775
15:33:16 228968
15:33:17 226029
15:33:17 228233
15:33:17 228366
15:33:17 227899
15:33:18 224897
15:33:18 227539
15:33:18 221175
15:33:18 226412
15:33:19 218962
15:33:19 223417
15:33:19 214451
15:33:19 216219
15:33:20 218512
15:33:20 222145
15:33:20 218120
15:33:20 218833
15:33:21 215925
15:33:21 218423
15:33:21 215128
15:33:21 221851
15:33:22 218483
15:33:22 224945
15:33:22 220152
15:33:22 224944
15:33:23 212797
15:33:23 216855
15:33:23 213660
15:33:23 218578
15:33:24 217684
15:33:24 221065
15:33:24 226250
15:33:24 229830
15:33:25 221123
15:33:25 222035
15:33:25 215228
15:33:25 218153
15:33:26 216036
15:33:26 219696
15:33:26 223436
15:33:26 229977
15:33:27 217666
15:33:27 224989
15:33:27 206297
15:33:27 212800
15:33:28 208589
15:33:28 217034
15:33:28 215213
15:33:28 222163
15:33:29 221505
15:33:29 223451
15:33:29 222679
15:33:29 222620
15:33:30 214148
15:33:30 214430
15:33:30 216848
15:33:30 220686
15:33:31 228134
15:33:31 234949
15:33:31 231682
15:33:31 231421
15:33:32 224838
15:33:32 223047
15:33:32 224931
15:33:32 228314
15:33:33 230823
15:33:33 237870
15:33:33 240409
15:33:33 241650
15:33:34 230336
15:33:34 227947
15:33:34 221649
15:33:34 222657
15:33:35 223894
15:33:35 229134
15:33:35 238859
15:33:35 238833
15:33:36 234226
15:33:36 231871
15:33:36 225471
15:33:36 228227
15:33:37 219973
15:33:37 222622
15:33:37 231577
15:33:37 231183
15:33:38 235781
15:33:38 237133
15:33:38 229230
15:33:38 232859
15:33:39 219050
15:33:39 220974
15:33:39 221736
15:33:39 225898
15:33:40 234357
15:33:40 236270
15:33:40 230289
15:33:40 232464
15:33:41 215358
15:33:41 211942
15:33:41 215757
15:33:41 219879
15:33:42 224591
15:33:42 230968
15:33:42 234898
15:33:42 238769
15:33:43 227731
15:33:43 229308
15:33:43 220591
15:33:43 224076
15:33:44 222446
15:33:44 228438
15:33:44 232659
15:33:44 241493
15:33:45 233236
15:33:45 236597
15:33:45 230342
15:33:45 234191
15:33:46 233686
15:33:46 241583
15:33:46 245446
15:33:46 248436
15:33:47 244510
15:33:47 247651
15:33:47 244170
15:33:47 243118
15:33:48 244983
15:33:48 244646
