#    Distance    Position
0 0
0.001 -0.000
0.000 0.008
0.000 0.022
0.001 0.043
0.000 0.067
0.001 0.092
0.001 0.116
0.001 0.141
0.000 0.165
0.003 0.189
0.007 0.213
0.015 0.238
0.021 0.261
0.026 0.285
0.031 0.308
0.033 0.331
0.028 0.355
0.023 0.377
0.021 0.400
0.019 0.422
0.018 0.445
0.013 0.467
0.010 0.488
0.005 0.509
0.002 0.530
0.008 0.551
0.014 0.571
0.028 0.591
0.034 0.611
0.039 0.631
0.054 0.649
0.062 0.668
0.073 0.686
0.084 0.704
0.093 0.721
0.101 0.738
0.110 0.754
0.121 0.770
0.130 0.785
0.140 0.800
0.160 0.815
0.171 0.829
0.177 0.842
0.181 0.855
0.194 0.868
0.204 0.880
0.214 0.891
0.226 0.902
0.235 0.912
0.245 0.922
0.257 0.931
0.267 0.940
0.276 0.948
0.288 0.956
0.298 0.963
0.310 0.969
0.319 0.975
0.332 0.980
0.340 0.985
0.350 0.989
0.362 0.992
0.372 0.995
0.381 0.997
0.390 0.999
0.403 1.000
0.412 1.000
0.422 1.000
0.434 0.999
0.443 0.998
0.453 0.996
0.461 0.993
0.474 0.990
0.483 0.986
0.491 0.981
0.507 0.976
0.519 0.971
0.523 0.965
0.537 0.958
0.545 0.950
0.555 0.943
0.566 0.934
0.576 0.925
0.587 0.915
0.595 0.905
0.606 0.894
0.619 0.883
0.626 0.871
0.638 0.859
0.648 0.846
0.657 0.833
0.669 0.819
0.679 0.805
0.687 0.790
0.700 0.774
0.711 0.759
0.718 0.742
0.729 0.726
0.740 0.709
0.748 0.691
0.763 0.673
0.769 0.655
0.780 0.636
0.791 0.617
0.801 0.597
0.812 0.577
0.822 0.557
0.834 0.536
0.844 0.516
0.854 0.494
0.865 0.473
0.875 0.451
0.884 0.429
0.897 0.407
0.905 0.384
0.919 0.361
0.925 0.338
0.939 0.315
0.947 0.292
0.959 0.268
0.968 0.244
0.981 0.220
0.990 0.196
1.000 0.172
1.012 0.148
1.021 0.123
1.033 0.099
1.043 0.074
1.051 0.050
1.067 0.025
1.076 0.001
1.085 -0.024
1.094 -0.048
