# time err(step)
0 0
0.592 0 0
1.093 12379 6189
1.693 11475 7951
2.194 112110 33991
2.794 156954 58583
3.295 265674 93098
3.895 295402 121999
4.496 387875 155233
4.997 378209 180008
5.698 319808 193988
6.299 318956 205349
6.899 302955 213483
7.500 253142 216533
8.001 266445 220098
8.601 236258 221176
9.202 208945 220411
9.702 201653 219308
10.303 166440 216371
10.904 140419 212373
11.404 145953 209052
12.005 87716 203274
12.605 36503 195694
13.106 45196 189150
13.706 34632 182712
14.307 9590 175787
14.907 2178 169110
15.408 35095 164146
16.008 33627 159485
16.609 24963 154846
17.210 6199 149891
17.710 24019 145831
18.311 -4065 141401
18.811 15144 137575
19.412 -522 133544
19.913 37471 130799
20.513 7164 127364
21.014 31046 124761
21.614 -1338 121513
22.115 -103559 121053
22.615 -188807 122747
23.116 -225126 125244
23.716 -263057 128525
24.317 -286697 132203
24.918 -296476 135937
25.418 -301182 139609
26.019 -307647 143262
26.620 -289253 146368
27.220 -296943 149505
27.721 -303193 152642
28.321 -305619 155701
28.822 -305762 158643
29.423 -306244 161482
30.023 -427215 166496
30.524 -424171 171267
31.124 -593071 178937
31.625 -705966 188348
32.226 -860419 200139
32.726 -976162 213518
33.227 -1091196 228394
33.727 -1210173 244757
34.228 -1326927 262498
34.728 -1439295 281478
35.229 -1550273 301618
35.731 -1668217 322971
36.231 -1785094 345465
36.832 -1945680 369711
37.333 -2061342 394959
37.833 -2178649 421190
38.334 -2296528 448369
