# time VlaserMean VlaserInst
0 0 0
0.573 2.553 0.293
1.219 2.491 4.156
1.775 2.573 3.474
2.425 2.770 3.812
2.941 2.919 4.165
3.656 3.122 3.538
4.364 3.278 3.715
4.876 3.393 3.643
5.529 3.654 4.059
6.114 3.683 3.859
6.697 3.698 3.799
7.314 3.661 4.376
8.172 3.720 3.892
8.856 3.759 4.022
9.514 3.801 3.744
10.021 3.810 3.881
10.660 3.806 3.983
11.242 3.773 3.871
11.925 3.756 3.564
12.458 3.754 3.919
13.200 3.699 3.534
13.707 3.659 3.539
14.413 3.620 3.781
15.146 3.578 3.750
15.688 3.587 3.574
16.367 3.529 3.560
17.048 3.478 3.703
17.753 3.492 3.548
18.340 3.492 3.536
18.845 3.486 3.752
19.426 3.486 3.699
20.075 3.457 3.428
20.580 3.435 3.303
21.116 3.442 3.796
21.716 3.439 3.593
22.303 3.456 3.390
22.873 3.410 3.728
23.537 3.374 3.571
24.233 3.389 3.534
24.758 3.411 3.927
25.459 3.435 3.573
25.992 3.473 4.053
26.560 3.455 3.335
27.207 3.524 3.952
27.776 3.537 3.529
28.316 3.572 3.746
28.994 3.562 3.460
29.664 3.509 3.889
30.340 3.459 3.490
30.854 3.528 3.454
31.508 3.501 3.853
32.200 3.498 3.614
32.724 3.501 4.051
33.429 3.512 3.476
33.994 3.529 3.924
34.589 3.560 3.633
35.194 3.488 3.758
35.795 3.464 3.472
36.478 3.463 3.339
37.135 3.459 3.867
37.762 3.451 3.300
38.379 3.399 3.791
38.959 3.411 3.672
39.596 3.409 3.653
40.101 3.471 3.579
40.753 3.474 3.637
41.355 3.426 3.649
42.068 3.470 3.526
42.786 3.464 3.743
43.481 3.465 3.821
44.180 3.495 3.428
44.807 3.486 3.624
45.496 3.513 3.943
46.045 3.525 3.676
46.625 3.548 3.592
47.365 3.562 3.430
47.887 3.483 4.189
48.600 3.572 3.453
49.102 3.528 3.644
49.603 3.509 3.571
50.275 3.489 3.606
50.904 3.499 3.699
51.561 3.470 3.547
52.072 3.455 3.216
52.592 3.433 3.368
53.122 3.364 3.817
53.787 3.382 3.491
