# time Vtrans Vrot
0 0 0
0.339 0.000 0.000
0.839 0.000 0.000
1.339 0.000 0.000
1.840 0.000 0.000
2.340 0.000 0.000
2.840 0.000 0.000
3.340 0.000 0.000
3.840 0.000 0.000
4.340 0.000 0.000
4.840 0.000 0.000
5.341 0.000 0.000
5.841 0.000 0.000
6.341 0.000 0.000
6.841 0.000 0.000
7.341 0.000 0.000
7.841 0.000 0.000
8.342 0.000 0.000
8.842 0.000 0.000
9.342 0.000 0.000
9.842 0.000 0.000
10.342 0.000 0.000
10.842 0.000 0.000
11.342 0.000 0.000
11.843 0.000 0.000
12.343 0.000 0.000
12.843 0.000 0.000
13.343 0.000 0.000
13.843 0.000 0.000
14.343 0.000 0.000
14.843 0.000 0.000
15.344 0.000 0.000
15.844 0.000 0.000
16.344 0.000 0.000
16.844 0.000 0.000
17.344 0.000 0.000
17.844 0.000 0.000
18.345 0.000 0.000
18.845 0.000 0.000
19.345 0.000 0.000
19.845 0.000 0.000
20.345 0.000 0.000
20.845 0.000 0.000
21.345 0.000 0.000
21.845 0.000 0.000
22.346 0.000 0.000
22.846 0.000 0.000
23.346 0.000 0.000
23.846 0.000 7.591
24.346 0.000 14.054
24.846 0.000 17.744
25.347 0.000 26.210
