TransVit -> Gris
Date : 27-01-2016 10:51:59
Temps   Vitesse
10:51:59 0 0
10:52:00 0 0
10:52:00 0 0
10:52:01 0 0
10:52:01 0 0
10:52:02 0 0
10:52:02 0 0
10:52:03 0 0
10:52:03 0 0
10:52:04 0 0
10:52:04 0 0
10:52:05 0 0
10:52:05 0 0
10:52:06 0 0
10:52:06 0 0
10:52:07 0 0
10:52:07 0 0
10:52:08 0 0
10:52:08 0 0
10:52:09 0 0
10:52:09 0 0
10:52:10 0 0
10:52:10 0 0
10:52:11 0 0
10:52:11 0 0
10:52:12 0 0
10:52:12 0 0
10:52:13 0 0
10:52:13 0 0
10:52:14 0 0
10:52:14 0 0
10:52:15 0 0
10:52:15 0 0
10:52:16 0 0
10:52:16 0 0
10:52:17 0 0
10:52:17 0 0
10:52:18 0 0
10:52:18 0 0
10:52:19 0 0
10:52:19 0 0
10:52:20 0 0
10:52:20 0 0
10:52:21 0 0
10:52:21 0 0
10:52:22 0 0
10:52:22 0 0
10:52:23 0 0
10:52:23 0 0
10:52:24 0 0
10:52:24 0 0
10:52:25 0 0
10:52:25 0 0
10:52:26 0 0
10:52:26 0 0
10:52:27 0 0
10:52:27 0 0
10:52:28 0 0
10:52:28 0 0
10:52:29 0 0
10:52:29 0 0
10:52:30 0 0
10:52:30 0 0
10:52:31 0 0
10:52:31 0 0
10:52:32 0 0
10:52:32 0 0
10:52:33 0 0
10:52:33 0 0
10:52:34 0 0
10:52:34 0 0
10:52:35 0 0
10:52:35 0 0
10:52:36 0 0
10:52:36 0 0
10:52:37 0 0
10:52:37 0 0
10:52:38 0 0
10:52:38 0 0
10:52:39 0 0
10:52:39 0 0
10:52:40 0 0
10:52:40 0 0
10:52:41 0 0
10:52:41 0 0
10:52:42 0 0
10:52:42 0 0
10:52:43 0 0
10:52:43 0 0
10:52:44 0 0
10:52:44 0 0
10:52:45 0 0
10:52:45 0 0
10:52:46 0 0
10:52:46 0 0
10:52:47 0 0
10:52:47 0 0
10:52:48 0 0
10:52:48 0 0
10:52:49 0 0
10:52:49 0 0
10:52:50 0 0
10:52:50 0 0
10:52:51 0 0
10:52:51 0 0
10:52:52 0 0
10:52:52 0 0
10:52:53 0 0
10:52:53 0 0
10:52:54 0 0
10:52:54 0 0
10:52:55 0 0
10:52:55 0 0
10:52:56 0 0
10:52:56 0 0
10:52:57 0 0
10:52:57 0 0
10:52:58 0 0
10:52:58 0 0
10:52:59 0 0
10:52:59 0 0
10:53:00 0 0
10:53:00 0 0
10:53:01 0 0
10:53:01 0 0
10:53:02 0 0
10:53:02 0 0
10:53:03 0 0
10:53:03 0 0
10:53:04 0 0
10:53:04 0 0
10:53:05 0 0
10:53:05 0 0
10:53:06 0 0
10:53:06 0 0
10:53:07 0 0
10:53:07 0 0
10:53:08 0 0
10:53:08 0 0
10:53:09 0 0
10:53:09 0 0
10:53:10 0 0
10:53:10 0 0
10:53:11 0 0
10:53:11 0 0
10:53:12 0 0
10:53:12 0 0
10:53:13 0 0
10:53:13 0 0
10:53:14 0 0
10:53:14 0 0
10:53:15 0 0
10:53:15 0 0
10:53:16 0 0
10:53:16 0 0
10:53:17 0 0
10:53:17 0 0
10:53:18 0 0
10:53:18 0 0
10:53:19 0 0
10:53:19 0 0
10:53:20 0 0
10:53:20 0 0
10:53:21 0 0
10:53:21 0 0
10:53:22 0 0
10:53:22 0 0
10:53:23 0 0
10:53:23 0 0
10:53:24 0 0
10:53:24 0 0
10:53:25 0 0
10:53:25 0 0
10:53:26 0 0
10:53:26 0 0
10:53:27 0 0
10:53:27 0 0
10:53:28 0 0
10:53:28 0 0
10:53:29 0 0
10:53:29 0 0
10:53:30 0 0
10:53:30 0 0
10:53:31 0 0
10:53:31 0 0
10:53:32 0 0
10:53:32 0 0
10:53:33 0 0
10:53:33 0 0
10:53:34 0 0
10:53:34 0 0
10:53:35 0 0
10:53:35 0 0
10:53:36 0 0
10:53:36 0 0
10:53:37 0 0
10:53:37 0 0
10:53:38 0 0
10:53:38 0 0
10:53:39 0 0
10:53:39 0 0
10:53:40 0 0
10:53:40 0 0
10:53:41 0 0
10:53:41 0 0
10:53:42 0 0
10:53:42 0 0
10:53:43 0 0
10:53:43 0 0
10:53:44 0 0
10:53:44 0 0
10:53:45 0 0
10:53:45 0 0
10:53:46 0 0
10:53:46 0 0
10:53:47 0 0
10:53:47 0 0
10:53:48 0 0
10:53:48 0 0
10:53:49 0 0
10:53:49 0 0
10:53:50 0 0
10:53:50 0 0
10:53:51 0 0
10:53:51 0 0
10:53:52 0 0
10:53:52 0 0
10:53:53 0 0
10:53:53 0 0
10:53:54 0 0
10:53:54 0 0
10:53:55 0 0
10:53:55 0 0
10:53:56 0 0
10:53:56 0 0
10:53:57 0 0
10:53:57 0 0
10:53:58 0 0
10:53:58 0 0
10:53:59 0 0
10:53:59 0 0
10:54:00 0 0
10:54:00 0 0
10:54:01 0 0
10:54:01 0 0
10:54:02 0 0
10:54:02 0 0
10:54:03 0 0
10:54:03 0 0
10:54:04 0 0
10:54:04 0 0
10:54:05 0 0
10:54:05 0 0
10:54:06 0 0
10:54:06 0 0
10:54:07 0 0
10:54:07 0 0
10:54:08 0 0
