RotCouple -> Vert
Date : 17-02-2016 17:52:38
Temps   Vitesse
17:52:38 0
17:52:39 0
17:52:39 0
17:52:40 0
17:52:40 0
17:52:41 0
17:52:41 0
17:52:42 0
17:52:42 0
17:52:43 0
17:52:43 0
17:52:44 0
17:52:44 0
17:52:45 0
17:52:45 0
17:52:46 0
17:52:46 0
17:52:47 0
17:52:47 19075
17:52:48 3894
17:52:48 558
17:52:49 71
17:52:49 7
17:52:50 0
17:52:50 0
17:52:51 0
17:52:51 0
17:52:52 0
17:52:52 0
17:52:53 0
17:52:53 0
17:52:54 0
17:52:54 0
17:52:55 0
17:52:55 0
17:52:56 0
17:52:56 0
17:52:57 0
17:52:57 0
17:52:58 0
17:52:58 0
17:52:59 0
17:52:59 2051
17:53:00 6105
17:53:00 876
17:53:01 117
17:53:01 13
17:53:02 0
17:53:02 0
17:53:03 0
17:53:03 0
17:53:04 0
17:53:04 0
17:53:05 0
17:53:05 0
17:53:06 0
17:53:06 0
17:53:07 0
17:53:07 0
17:53:08 0
17:53:08 0
17:53:09 0
17:53:09 0
17:53:10 0
17:53:10 0
17:53:11 111412
17:53:11 32140
17:53:12 4278
17:53:12 623
17:53:13 85
17:53:13 7
17:53:14 0
17:53:14 0
17:53:15 0
17:53:15 0
17:53:16 0
17:53:16 0
17:53:17 0
17:53:17 0
17:53:18 0
17:53:18 0
17:53:19 0
17:53:19 0
17:53:20 0
17:53:20 0
17:53:21 0
17:53:21 0
17:53:22 0
17:53:22 0
17:53:23 0
17:53:23 0
17:53:24 0
17:53:24 0
17:53:25 0
17:53:25 0
17:53:26 0
17:53:26 0
17:53:27 0
17:53:27 0
17:53:28 0
17:53:28 0
17:53:29 0
17:53:29 0
17:53:30 0
17:53:30 0
17:53:31 0
17:53:31 0
17:53:32 0
17:53:32 0
17:53:33 0
17:53:33 0
17:53:34 0
17:53:34 0
17:53:35 0
17:53:35 0
17:53:36 0
17:53:36 0
17:53:37 0
17:53:37 0
17:53:38 0
17:53:38 0
17:53:39 0
17:53:39 0
17:53:40 0
17:53:40 0
17:53:41 0
17:53:41 0
17:53:42 0
17:53:42 0
17:53:43 0
17:53:43 0
17:53:44 0
17:53:44 0
17:53:45 0
