TransVit -> No-Color
Date : 25-01-2016 15:56:20
Temps   Vitesse
15:56:20 0 0
15:56:21 0 0
15:56:21 0 0
15:56:22 0 0
15:56:22 0 0
15:56:23 0 0
15:56:23 0 0
15:56:24 0 0
15:56:24 0 0
15:56:25 0 0
15:56:25 0 0
15:56:26 0 0
15:56:26 0 0
15:56:27 0 0
15:56:27 0 0
15:56:28 0 0
15:56:28 0 0
15:56:29 0 0
15:56:29 0 0
15:56:30 0 0
15:56:30 0 0
15:56:31 0 0
15:56:31 0 0
15:56:32 0 0
15:56:32 0 0
15:56:33 0 0
15:56:33 0 0
15:56:34 0 0
15:56:34 0 0
15:56:35 20000 20000
15:56:35 21870 60000
15:56:36 61915 100000
15:56:36 100000 100000
15:56:37 102152 120000
15:56:37 121828 140000
15:56:38 140000 140000
15:56:38 141989 180000
15:56:39 182202 200000
15:56:39 202192 220000
15:56:40 222284 240000
15:56:40 240000 240000
15:56:41 242277 260000
15:56:42 260000 260000
15:56:42 262355 280000
15:56:43 280000 280000
15:56:43 282692 300000
15:56:44 300000 300000
15:56:44 302827 320000
15:56:45 320000 320000
15:56:45 320000 320000
15:56:46 320000 320000
15:56:46 320000 320000
15:56:47 320000 320000
15:56:47 320000 320000
15:56:48 320000 320000
15:56:48 320000 320000
15:56:49 320000 320000
15:56:49 320000 320000
15:56:50 320000 320000
15:56:50 320000 320000
15:56:51 320000 320000
15:56:51 320000 320000
15:56:52 320000 320000
15:56:52 320000 320000
15:56:53 320000 320000
15:56:53 320000 320000
15:56:54 320000 320000
15:56:54 320000 320000
15:56:55 320000 320000
15:56:55 320000 320000
15:56:56 320000 320000
15:56:56 320000 320000
15:56:57 320000 320000
15:56:57 320000 320000
15:56:58 320000 320000
15:56:58 320000 320000
15:56:59 320000 320000
15:56:59 320000 320000
15:57:00 320000 320000
15:57:00 320000 320000
15:57:01 320000 320000
15:57:01 320000 320000
15:57:02 320000 320000
15:57:02 320000 320000
15:57:03 320000 320000
15:57:03 320000 320000
15:57:04 320000 320000
15:57:04 320000 320000
15:57:05 320000 320000
15:57:05 320000 320000
15:57:06 320000 320000
15:57:06 320000 320000
15:57:07 320000 320000
15:57:07 320000 320000
15:57:08 320000 320000
15:57:08 320000 320000
15:57:09 320000 320000
15:57:09 320000 320000
15:57:10 320000 320000
15:57:10 320000 320000
15:57:11 320000 320000
15:57:11 320000 320000
15:57:12 320000 320000
15:57:12 320000 320000
15:57:13 320000 320000
15:57:13 320000 320000
15:57:14 320000 320000
15:57:14 320000 320000
15:57:15 320000 320000
15:57:15 320000 320000
15:57:16 320000 320000
15:57:16 320000 320000
15:57:17 320000 320000
15:57:17 320000 320000
15:57:18 320000 320000
15:57:18 320000 320000
15:57:19 320000 320000
15:57:19 320000 320000
15:57:20 320000 320000
15:57:20 320000 320000
15:57:21 320000 320000
15:57:21 320000 320000
15:57:22 320000 320000
15:57:22 320000 320000
15:57:23 320000 320000
15:57:23 320000 320000
15:57:24 320000 320000
15:57:24 320000 320000
15:57:25 320000 320000
15:57:25 320000 320000
15:57:26 320000 320000
15:57:26 320000 320000
15:57:27 320000 320000
15:57:27 320000 320000
15:57:28 320000 320000
15:57:28 320000 320000
15:57:29 320000 320000
15:57:29 320000 320000
15:57:30 320000 320000
15:57:30 320000 320000
15:57:31 320000 320000
15:57:31 320000 320000
15:57:32 320000 320000
15:57:32 320000 320000
15:57:33 320000 320000
15:57:33 320000 320000
15:57:34 320000 320000
15:57:34 320000 320000
15:57:35 320000 320000
15:57:35 320000 320000
15:57:36 320000 320000
15:57:36 320000 320000
15:57:37 320000 320000
15:57:37 320000 320000
15:57:38 320000 320000
15:57:38 320000 320000
15:57:39 320000 320000
15:57:39 320000 320000
15:57:40 320000 320000
15:57:40 320000 320000
15:57:41 320000 320000
15:57:41 320000 320000
15:57:42 320000 320000
15:57:42 320000 320000
15:57:43 320000 320000
15:57:43 320000 320000
15:57:44 320000 320000
15:57:44 320000 320000
15:57:45 320000 320000
15:57:45 320000 320000
15:57:46 320000 320000
15:57:46 320000 320000
15:57:47 320000 320000
15:57:47 320000 320000
15:57:48 320000 320000
15:57:48 320000 320000
15:57:49 320000 320000
15:57:49 320000 320000
15:57:50 320000 320000
15:57:50 320000 320000
15:57:51 320000 320000
15:57:51 320000 320000
15:57:52 320000 320000
15:57:52 290035 0
15:57:53 240233 0
15:57:53 190013 0
15:57:54 139913 0
15:57:54 89886 0
15:57:55 0 0
15:57:55 0 0
15:57:56 0 0
15:57:56 0 0
15:57:57 0 0
