TransCouple -> Gris
Date : 25-01-2016 16:00:56
Temps   Vitesse
16:00:56 0
16:00:57 0
16:00:57 0
16:00:58 0
16:00:58 0
16:00:59 0
16:00:59 0
16:01:00 0
16:01:00 0
16:01:01 0
16:01:01 0
16:01:02 0
16:01:02 0
16:01:03 0
16:01:03 0
16:01:04 0
16:01:04 99045
16:01:05 85058
16:01:05 71748
16:01:06 231846
16:01:06 260199
16:01:07 255695
16:01:07 245922
16:01:08 244252
16:01:08 243923
16:01:09 240643
16:01:09 237734
16:01:10 234767
16:01:10 239468
16:01:11 238285
16:01:11 236213
16:01:12 238142
16:01:12 239675
16:01:13 235851
16:01:13 243871
16:01:14 241739
16:01:14 247535
16:01:15 248832
16:01:15 249963
16:01:16 254049
16:01:16 260700
16:01:17 269908
16:01:17 281464
16:01:18 296803
16:01:18 304761
16:01:19 318611
16:01:19 326148
16:01:20 333475
16:01:20 340128
16:01:21 344969
16:01:21 340855
16:01:22 343094
16:01:22 343095
16:01:23 340359
16:01:23 340624
16:01:24 343897
16:01:24 335476
16:01:25 333862
16:01:25 333910
16:01:26 327566
16:01:26 330164
16:01:27 328635
16:01:27 335763
16:01:28 335752
16:01:28 339224
16:01:29 341516
16:01:29 341622
16:01:30 342984
16:01:30 348499
16:01:31 347711
16:01:31 344222
16:01:32 345744
16:01:32 343561
16:01:33 348471
16:01:33 345779
16:01:34 346072
16:01:34 348669
16:01:35 346778
16:01:35 347597
16:01:36 345657
16:01:36 347908
16:01:37 350240
16:01:37 343735
16:01:38 351038
16:01:38 347359
16:01:39 342444
16:01:39 345914
16:01:40 342941
16:01:40 339316
16:01:41 337365
16:01:41 335540
16:01:42 332470
16:01:42 335507
16:01:43 341082
16:01:43 340982
16:01:44 344694
16:01:44 347381
16:01:45 350957
16:01:45 357187
16:01:46 353197
16:01:46 360024
16:01:47 352453
16:01:47 350252
16:01:48 344279
16:01:48 340443
16:01:49 343052
16:01:49 342837
16:01:50 351072
16:01:50 352260
16:01:51 351468
16:01:51 351156
16:01:52 341379
16:01:52 341493
16:01:53 342053
16:01:53 340663
16:01:54 339636
16:01:54 347829
16:01:55 342503
16:01:55 341290
16:01:56 340421
16:01:56 339379
16:01:57 330240
16:01:57 338366
16:01:58 335403
16:01:58 335866
16:01:59 346073
16:01:59 350648
16:02:00 349708
16:02:00 347968
16:02:01 350484
16:02:01 350866
16:02:02 346307
16:02:02 358355
16:02:03 346705
16:02:03 350760
16:02:04 348654
16:02:04 341425
16:02:05 347095
16:02:05 338782
16:02:06 329712
16:02:06 333464
16:02:07 341492
16:02:07 337222
16:02:08 343707
16:02:08 345037
16:02:09 335448
16:02:09 336160
16:02:10 335370
16:02:10 327512
16:02:11 332042
16:02:11 342084
16:02:12 339310
16:02:12 346482
16:02:13 343738
16:02:13 341305
16:02:14 340929
16:02:14 349217
16:02:15 343399
16:02:15 346999
16:02:16 344823
16:02:16 340217
16:02:17 343994
16:02:17 345040
16:02:18 339927
16:02:18 344919
16:02:19 342886
16:02:19 0
16:02:20 0
16:02:20 0
16:02:21 0
16:02:21 0
16:02:22 0
16:02:22 0
16:02:23 0
16:02:23 0
16:02:24 0
16:02:24 0
16:02:25 0
16:02:25 0
16:02:26 0
16:02:26 0
16:02:27 0
16:02:27 0
16:02:28 0
16:02:28 0
16:02:29 0
16:02:29 0
16:02:30 0
16:02:30 0
16:02:31 0
16:02:31 0
16:02:32 0
16:02:32 0
16:02:33 0
16:02:33 0
16:02:34 0
16:02:34 0
16:02:35 0
16:02:35 0
16:02:36 0
16:02:36 0
16:02:37 0
16:02:37 0
16:02:38 0
