TransCouple -> Gris
Date : 25-01-2016 13:35:29
Temps   Vitesse
13:35:29 0
13:35:30 0
13:35:30 0
13:35:31 0
13:35:31 0
13:35:32 0
13:35:32 0
13:35:33 0
13:35:33 0
13:35:34 0
13:35:34 0
13:35:35 0
13:35:35 0
13:35:36 0
13:35:36 0
13:35:37 0
13:35:37 0
13:35:38 0
13:35:38 0
13:35:39 0
13:35:39 0
13:35:40 0
13:35:40 0
13:35:41 0
13:35:41 0
13:35:42 0
13:35:42 0
13:35:43 0
13:35:43 0
13:35:44 0
13:35:44 0
13:35:45 0
13:35:45 139201
13:35:46 306953
13:35:46 369099
13:35:47 361252
13:35:47 357110
13:35:48 352309
13:35:48 355992
13:35:49 357222
13:35:49 354578
13:35:50 350670
13:35:50 356694
13:35:51 353569
13:35:51 360313
13:35:52 362071
13:35:52 357101
13:35:53 368959
13:35:53 366755
13:35:54 360857
13:35:54 368667
13:35:55 373393
13:35:55 374394
13:35:56 372772
13:35:56 363384
13:35:57 352453
13:35:57 355887
13:35:58 356213
13:35:58 349235
13:35:59 354674
13:35:59 349945
13:36:00 349685
13:36:00 344944
13:36:01 349222
13:36:01 342895
13:36:02 346816
13:36:02 346728
13:36:03 339421
13:36:03 332115
13:36:04 334954
13:36:04 334612
13:36:05 328528
13:36:05 327526
13:36:06 331091
13:36:06 344647
13:36:07 340911
13:36:07 344920
13:36:08 350091
13:36:08 350677
13:36:09 353647
13:36:09 353728
13:36:10 357764
13:36:10 355552
13:36:11 358649
13:36:11 356356
13:36:12 360632
13:36:12 357216
13:36:13 352480
13:36:13 351759
13:36:14 351829
13:36:14 348993
13:36:15 343405
13:36:15 346715
13:36:16 342369
13:36:16 345111
13:36:17 339600
13:36:17 336877
13:36:18 338434
13:36:18 333057
13:36:19 336956
13:36:19 346282
13:36:20 351605
13:36:20 345786
13:36:21 350148
13:36:21 358026
13:36:22 358791
13:36:22 354406
13:36:23 350886
13:36:23 349020
13:36:24 349267
