TransCouple -> No-Color
Date : 25-01-2016 14:08:36
Temps   Vitesse
14:08:37 0
14:08:37 0
14:08:38 0
14:08:38 0
14:08:39 0
14:08:39 0
14:08:40 0
14:08:40 0
14:08:41 0
14:08:41 0
14:08:42 0
14:08:42 0
14:08:43 0
14:08:43 0
14:08:44 0
14:08:44 0
14:08:45 0
14:08:45 0
14:08:46 0
14:08:46 0
14:08:47 0
14:08:47 0
14:08:48 0
14:08:48 0
14:08:49 0
14:08:49 0
14:08:50 0
14:08:50 0
14:08:51 0
14:08:51 0
14:08:52 0
14:08:52 0
14:08:53 0
14:08:53 0
14:08:54 0
14:08:54 0
14:08:55 0
14:08:55 0
14:08:56 0
14:08:56 0
14:08:57 0
14:08:57 0
14:08:58 0
14:08:58 0
14:08:59 0
14:08:59 0
14:09:00 0
14:09:00 0
14:09:01 0
14:09:01 0
14:09:02 0
14:09:02 0
14:09:03 0
14:09:03 0
14:09:04 0
14:09:04 125674
14:09:05 299434
14:09:05 321309
14:09:06 326126
14:09:06 323512
14:09:07 320670
14:09:07 318585
14:09:08 316629
14:09:08 316285
14:09:09 316260
14:09:09 319925
14:09:10 322144
14:09:10 318214
14:09:11 322453
14:09:11 320142
14:09:12 319017
14:09:12 317458
14:09:13 322593
14:09:13 326080
14:09:14 327575
14:09:14 327908
14:09:15 325492
14:09:15 326900
14:09:16 331738
14:09:16 331414
14:09:17 327078
14:09:17 322654
14:09:18 320535
14:09:18 323681
14:09:19 323972
14:09:19 323852
14:09:20 321048
14:09:20 317556
14:09:21 314352
14:09:21 313345
14:09:22 313455
14:09:22 313432
14:09:23 313250
14:09:23 312835
14:09:24 311958
14:09:24 306309
14:09:25 303930
14:09:26 302012
14:09:26 298164
14:09:27 297730
14:09:27 297974
14:09:28 300754
14:09:28 307933
14:09:29 306799
14:09:29 307013
14:09:30 313034
14:09:30 319786
14:09:31 320632
14:09:31 323827
14:09:32 323837
14:09:32 323459
14:09:33 323230
14:09:33 326978
14:09:34 328023
14:09:34 328633
14:09:35 326741
14:09:35 324330
14:09:36 327267
14:09:36 327436
14:09:37 325233
14:09:37 323711
14:09:38 320165
14:09:38 317664
14:09:39 317128
14:09:39 318815
14:09:40 318112
14:09:40 312574
14:09:41 311016
14:09:41 311232
14:09:42 311085
14:09:42 314336
14:09:43 319389
14:09:43 321347
14:09:44 320498
14:09:44 319616
14:09:45 325243
14:09:45 327399
14:09:46 325967
14:09:46 324044
14:09:47 322181
14:09:47 320775
14:09:48 322750
14:09:48 321865
14:09:49 324893
14:09:49 325155
14:09:50 323920
14:09:50 322494
14:09:51 325152
14:09:51 326826
14:09:52 325851
14:09:52 321720
14:09:53 318213
14:09:53 316452
14:09:54 314414
14:09:54 316737
14:09:55 318327
14:09:55 316657
14:09:56 315048
14:09:56 316598
14:09:57 316183
14:09:57 312538
14:09:58 314062
14:09:58 314050
14:09:59 317852
14:09:59 313940
14:10:00 318805
14:10:00 324176
14:10:01 325023
14:10:01 323349
14:10:02 322788
14:10:02 320676
14:10:03 319472
14:10:03 323076
14:10:04 322493
14:10:04 320311
14:10:05 324128
14:10:05 314147
14:10:06 306376
14:10:06 309695
14:10:07 312041
14:10:07 310411
14:10:08 316161
14:10:08 318888
14:10:09 318305
14:10:09 312958
14:10:10 317547
14:10:10 316255
14:10:11 310785
14:10:11 312156
14:10:12 313102
14:10:12 309060
14:10:13 309140
14:10:13 309027
14:10:14 308586
14:10:14 306037
14:10:15 311809
14:10:15 308164
14:10:16 311018
14:10:16 308058
14:10:17 306507
14:10:17 307569
14:10:18 307721
14:10:18 308642
14:10:19 309006
14:10:19 308914
14:10:20 0
14:10:20 0
14:10:21 0
14:10:21 0
14:10:22 0
14:10:22 0
14:10:23 0
14:10:23 0
14:10:24 0
14:10:24 0
14:10:25 0
14:10:25 0
14:10:26 0
14:10:26 2610
14:10:27 199209
14:10:27 308466
14:10:28 306985
14:10:28 298672
14:10:29 299714
14:10:29 301004
14:10:30 304387
14:10:30 304692
14:10:31 299844
14:10:31 300686
14:10:32 305119
14:10:32 302888
14:10:33 301750
14:10:33 303753
14:10:34 306610
14:10:34 307572
14:10:35 306278
14:10:35 304452
14:10:36 298925
14:10:36 297349
14:10:37 301132
14:10:37 303236
14:10:38 302274
14:10:38 299875
14:10:39 302162
14:10:39 303572
14:10:40 303182
14:10:40 303594
14:10:41 304209
14:10:41 301764
14:10:42 297909
14:10:42 289594
14:10:43 293552
14:10:43 293765
14:10:44 294931
14:10:44 293820
14:10:45 292916
14:10:45 287713
14:10:46 287365
14:10:46 289967
14:10:47 290283
14:10:47 287637
14:10:48 287723
14:10:48 283074
14:10:49 285667
14:10:49 287547
14:10:50 288701
14:10:50 283762
14:10:51 288388
14:10:51 292245
14:10:52 294837
14:10:52 296352
14:10:53 297042
14:10:53 298592
14:10:54 297864
14:10:54 299077
14:10:55 296320
14:10:55 295367
14:10:56 294302
14:10:56 292318
14:10:57 292481
14:10:57 291168
14:10:58 288716
14:10:58 283229
14:10:59 281035
14:10:59 282970
14:11:00 282546
14:11:00 282400
14:11:01 281527
14:11:01 285321
14:11:02 289089
14:11:02 288849
14:11:03 286628
14:11:03 282916
14:11:04 284484
14:11:04 286971
14:11:05 284560
14:11:05 283457
14:11:06 287920
14:11:06 286050
14:11:07 287115
14:11:07 292740
14:11:08 293525
14:11:08 295645
14:11:09 297658
14:11:09 299577
14:11:10 301003
14:11:10 299563
14:11:11 301002
14:11:11 300268
14:11:12 296935
14:11:12 290575
14:11:13 293581
14:11:13 290150
14:11:14 285316
14:11:14 284530
14:11:15 287300
14:11:15 289090
14:11:16 284254
14:11:16 284214
14:11:17 282458
14:11:17 285682
14:11:18 287491
14:11:18 290534
14:11:19 285888
14:11:19 287436
14:11:20 288318
14:11:20 290507
