TransCouple -> Rouge
Date : 17-02-2016 13:23:46
Temps   Vitesse
13:23:47 0
13:23:47 0
13:23:48 0
13:23:48 0
13:23:49 0
13:23:49 0
13:23:50 0
13:23:50 0
13:23:51 0
13:23:51 0
13:23:52 0
13:23:52 0
13:23:53 0
13:23:53 0
13:23:54 0
13:23:54 0
13:23:55 0
13:23:55 0
13:23:56 0
13:23:56 0
13:23:57 0
13:23:57 0
13:23:58 19787
13:23:58 323767
13:23:59 365578
13:23:59 368949
13:24:00 366801
13:24:00 364479
13:24:01 373043
13:24:01 365562
13:24:02 373230
13:24:02 376040
13:24:03 365437
13:24:03 372589
13:24:04 365532
13:24:04 368322
13:24:05 370910
13:24:05 364934
13:24:06 372225
13:24:06 365246
13:24:07 360057
13:24:07 363081
13:24:08 359471
13:24:08 363132
13:24:09 365009
13:24:09 366386
13:24:10 362292
13:24:10 364389
13:24:11 362800
13:24:11 365948
13:24:12 364694
13:24:12 365861
13:24:13 366527
13:24:13 359616
13:24:14 363602
13:24:14 359712
13:24:15 362683
13:24:15 358691
13:24:16 363266
13:24:16 360980
13:24:17 361900
13:24:17 362041
13:24:18 361787
13:24:18 366794
13:24:19 361893
13:24:19 369999
13:24:20 364159
13:24:20 364511
13:24:21 364090
13:24:21 362045
13:24:22 365806
13:24:22 359734
13:24:23 367595
13:24:23 362750
13:24:24 362413
13:24:24 359919
13:24:25 364423
13:24:25 364816
13:24:26 366452
13:24:26 373908
13:24:27 366359
13:24:27 369903
13:24:28 370318
13:24:28 369086
13:24:29 373142
13:24:29 373370
13:24:30 369106
13:24:30 372783
13:24:31 365238
13:24:31 367271
13:24:32 367722
13:24:32 366283
13:24:33 369873
13:24:33 366319
13:24:34 367393
13:24:34 366702
13:24:35 363991
13:24:35 367965
13:24:36 368796
13:24:36 373471
13:24:37 374243
13:24:37 368714
13:24:38 371121
13:24:38 368721
13:24:39 366232
13:24:40 371204
13:24:40 367169
13:24:40 369430
13:24:41 365082
13:24:42 363044
13:24:42 360781
13:24:42 356135
13:24:43 354500
13:24:44 350417
13:24:44 342964
13:24:45 344920
13:24:45 337059
13:24:46 332969
13:24:46 335666
13:24:47 334364
13:24:47 332454
13:24:48 328986
13:24:48 333053
13:24:49 332716
13:24:49 326088
13:24:50 323400
13:24:50 326265
13:24:51 328085
13:24:51 331329
13:24:52 328771
13:24:52 327133
13:24:53 331204
13:24:53 331186
13:24:54 331277
13:24:54 327857
13:24:55 332103
13:24:55 338746
13:24:56 336767
13:24:56 336324
13:24:57 340934
13:24:57 339544
13:24:58 335988
13:24:58 340876
13:24:59 343427
13:24:59 340469
13:25:00 348392
13:25:00 343787
13:25:01 346511
13:25:01 346904
13:25:02 342815
13:25:02 348390
13:25:03 345230
13:25:03 0
13:25:04 0
13:25:04 0
13:25:05 0
13:25:05 0
