TransCouple -> Vert
Date : 17-02-2016 11:24:04
Temps   Vitesse
11:24:04 0
11:24:05 0
11:24:05 0
11:24:06 0
11:24:06 0
11:24:07 0
11:24:07 0
11:24:08 0
11:24:08 0
11:24:09 0
11:24:09 0
11:24:10 0
11:24:10 0
11:24:11 0
11:24:11 0
11:24:12 0
11:24:12 0
11:24:13 0
11:24:13 0
11:24:14 0
11:24:14 0
11:24:15 0
11:24:15 0
11:24:16 0
11:24:16 0
11:24:17 0
11:24:17 0
11:24:18 0
11:24:18 0
11:24:19 0
11:24:19 0
11:24:20 0
11:24:20 0
11:24:21 0
11:24:21 0
11:24:22 0
11:24:22 0
11:24:23 0
11:24:23 0
11:24:24 0
11:24:24 0
11:24:25 0
11:24:25 0
11:24:26 0
11:24:26 0
11:24:27 0
11:24:27 0
11:24:28 0
11:24:28 0
11:24:29 0
11:24:29 0
11:24:30 0
11:24:30 0
11:24:31 0
11:24:31 0
11:24:32 0
11:24:32 0
11:24:33 0
11:24:33 0
11:24:34 0
11:24:34 0
11:24:35 0
11:24:35 0
11:24:36 0
11:24:36 0
11:24:37 0
11:24:37 0
11:24:38 0
11:24:38 0
11:24:39 0
11:24:39 0
11:24:40 0
11:24:40 0
11:24:41 0
11:24:41 0
11:24:42 0
11:24:42 0
11:24:43 0
11:24:43 0
11:24:44 0
11:24:44 0
11:24:45 0
11:24:46 0
11:24:46 0
11:24:47 0
11:24:47 23122
11:24:48 281905
11:24:48 343082
11:24:49 345592
11:24:49 347313
11:24:50 347111
11:24:50 341898
11:24:51 345872
11:24:51 340332
11:24:52 339947
11:24:52 336583
11:24:53 338711
11:24:53 341949
11:24:54 340968
11:24:54 346472
11:24:55 342291
11:24:55 341173
11:24:56 344670
11:24:56 340485
11:24:57 345841
11:24:57 343056
11:24:58 343736
11:24:58 351997
11:24:59 346769
11:24:59 348856
11:25:00 350515
11:25:00 348842
11:25:01 354351
11:25:01 356142
11:25:02 357403
11:25:02 359090
11:25:03 358259
11:25:03 358311
11:25:04 359570
11:25:04 362706
11:25:05 368983
11:25:05 368791
11:25:06 369859
11:25:06 368532
11:25:07 364437
11:25:07 363038
11:25:08 359991
11:25:08 360698
11:25:09 358551
11:25:09 358656
11:25:10 359163
11:25:10 352154
11:25:11 357806
11:25:11 354082
11:25:12 354965
11:25:12 358573
11:25:13 356075
11:25:13 355678
11:25:14 351928
11:25:14 352935
11:25:15 351042
11:25:15 354146
11:25:16 353487
11:25:16 355555
11:25:17 351682
11:25:17 352221
11:25:18 345455
11:25:18 349860
11:25:19 348659
11:25:19 345482
11:25:20 348989
11:25:20 340869
11:25:21 338810
11:25:21 337523
11:25:22 333993
11:25:22 332642
11:25:23 327952
11:25:23 334118
11:25:24 331584
11:25:24 330164
11:25:25 327616
11:25:25 327740
11:25:26 331787
11:25:26 326925
11:25:27 325119
11:25:27 326923
11:25:28 328402
11:25:28 328084
11:25:29 330751
11:25:29 324088
11:25:30 329927
11:25:30 331213
11:25:31 332505
11:25:31 330445
11:25:32 330917
11:25:32 331738
11:25:33 333057
11:25:33 331273
11:25:34 332038
11:25:34 339988
11:25:35 339144
11:25:35 345603
11:25:36 350088
11:25:36 346503
11:25:37 353454
11:25:37 350847
11:25:38 349264
11:25:38 354417
11:25:39 353931
11:25:39 354842
11:25:40 351149
11:25:40 353718
11:25:41 351814
11:25:41 360227
11:25:42 361378
11:25:42 363621
11:25:43 366889
11:25:43 367722
11:25:44 367318
11:25:44 359005
11:25:45 365479
11:25:45 362782
11:25:46 363747
11:25:46 360929
11:25:47 361593
11:25:47 359188
11:25:48 363972
11:25:48 369198
11:25:49 369383
11:25:49 375943
11:25:50 370583
11:25:50 369495
11:25:51 369330
11:25:51 365670
11:25:52 368965
11:25:52 373387
11:25:53 369322
11:25:53 0
11:25:54 0
