TransVit -> Rouge
Date : 22-01-2016 17:32:01
Temps   Vitesse
17:32:02 0 0
17:32:02 0 0
17:32:03 0 0
17:32:03 0 0
17:32:04 0 0
17:32:04 0 0
17:32:05 0 0
17:32:05 0 0
17:32:06 0 0
17:32:06 0 0
17:32:07 0 0
17:32:07 0 0
17:32:08 0 0
17:32:08 0 0
17:32:09 0 0
17:32:09 0 0
17:32:10 0 0
17:32:10 0 0
17:32:11 0 0
17:32:11 0 0
17:32:12 0 0
17:32:12 0 0
17:32:13 0 0
17:32:13 0 0
17:32:14 0 0
17:32:14 0 0
17:32:15 0 0
17:32:15 0 0
17:32:16 0 0
17:32:16 0 0
17:32:17 0 0
17:32:17 0 0
17:32:18 0 0
17:32:18 0 0
17:32:19 20000 20000
17:32:19 20000 20000
17:32:20 22159 40000
17:32:20 40000 40000
17:32:21 40000 40000
17:32:21 42423 60000
17:32:22 60000 60000
17:32:22 60000 60000
17:32:23 60000 60000
17:32:23 62760 80000
17:32:24 80000 80000
17:32:24 80000 80000
17:32:25 82933 100000
17:32:25 100000 100000
17:32:26 103131 120000
17:32:26 120000 120000
17:32:27 123288 140000
17:32:27 140000 140000
17:32:28 140000 140000
17:32:28 143587 160000
17:32:29 160000 160000
17:32:29 160000 160000
17:32:30 160000 160000
17:32:30 163894 180000
17:32:31 180000 180000
17:32:31 180000 180000
17:32:32 184129 200000
17:32:32 200000 200000
17:32:33 200000 200000
17:32:33 204435 220000
17:32:34 220000 220000
17:32:34 220000 220000
17:32:35 224645 240000
17:32:35 240000 240000
17:32:36 240000 240000
17:32:36 240000 240000
17:32:37 240000 240000
17:32:37 244957 260000
17:32:38 260000 260000
17:32:38 260000 260000
17:32:39 260000 260000
17:32:39 260000 260000
17:32:40 265310 280000
17:32:40 280000 280000
17:32:41 285358 300000
17:32:41 300000 300000
17:32:42 300000 320000
17:32:42 305570 320000
17:32:43 320000 320000
17:32:43 320000 320000
17:32:44 325916 340000
17:32:44 340000 340000
17:32:45 340000 340000
17:32:45 340000 340000
17:32:46 340000 340000
17:32:46 340000 340000
17:32:47 340000 340000
17:32:47 340000 340000
17:32:48 340000 340000
17:32:48 333526 320000
17:32:49 320000 320000
17:32:49 320000 320000
17:32:50 320000 320000
17:32:50 313256 300000
17:32:51 300000 300000
17:32:51 300000 300000
17:32:52 300000 300000
17:32:52 300000 300000
17:32:53 300000 300000
17:32:53 300000 300000
17:32:54 300000 300000
17:32:54 300000 300000
17:32:55 300000 300000
17:32:55 300000 300000
17:32:56 300000 300000
17:32:56 300000 300000
17:32:57 300000 300000
17:32:57 300000 300000
17:32:58 300000 300000
17:32:58 300000 300000
17:32:59 300000 300000
17:32:59 300000 300000
17:33:00 300000 300000
17:33:00 300000 300000
17:33:01 300000 300000
17:33:01 300000 300000
17:33:02 300000 300000
17:33:02 300000 300000
17:33:03 300000 300000
17:33:03 300000 300000
17:33:04 300000 300000
17:33:04 300000 300000
17:33:05 300000 300000
17:33:05 300000 300000
17:33:06 300000 300000
17:33:06 300000 300000
17:33:07 300000 300000
17:33:07 300000 300000
17:33:08 300000 300000
17:33:08 300000 300000
17:33:09 300000 300000
17:33:09 300000 300000
17:33:10 300000 300000
17:33:10 300000 300000
17:33:11 300000 300000
17:33:11 300000 300000
17:33:12 300000 300000
17:33:12 300000 300000
17:33:13 300000 300000
17:33:13 300000 300000
17:33:14 309975 320000
17:33:14 320000 320000
17:33:15 320000 320000
17:33:15 320000 320000
17:33:16 320000 320000
17:33:16 320000 320000
17:33:17 320000 320000
17:33:17 320000 320000
17:33:18 320000 320000
17:33:18 320000 320000
17:33:19 320000 320000
17:33:19 320000 320000
17:33:20 320000 320000
17:33:20 320000 320000
17:33:21 320000 320000
17:33:21 320000 320000
17:33:22 320000 320000
17:33:22 320000 320000
17:33:23 320000 320000
17:33:23 320000 320000
17:33:24 320000 320000
17:33:24 320000 320000
17:33:25 320000 320000
17:33:25 320000 320000
17:33:26 320000 320000
17:33:26 320000 320000
17:33:27 320000 320000
17:33:27 320000 320000
17:33:28 320000 320000
17:33:28 320000 320000
17:33:29 320000 320000
17:33:29 320000 320000
17:33:30 320000 320000
17:33:30 320000 320000
17:33:31 320000 320000
17:33:31 320000 320000
17:33:32 320000 320000
17:33:32 320000 320000
17:33:33 320000 320000
17:33:33 320000 320000
17:33:34 320000 320000
17:33:34 320000 320000
17:33:35 320000 320000
17:33:35 320000 320000
17:33:36 320000 320000
17:33:36 334045 340000
17:33:37 340000 340000
17:33:37 340000 340000
17:33:38 340000 340000
17:33:38 340000 340000
17:33:39 340000 340000
17:33:39 340000 340000
17:33:40 340000 340000
17:33:40 340000 340000
17:33:41 340000 340000
17:33:41 340000 340000
17:33:42 340000 340000
17:33:42 340000 340000
17:33:43 340000 340000
17:33:43 340000 340000
17:33:44 340000 340000
17:33:44 340000 340000
17:33:45 340000 340000
17:33:45 340000 340000
17:33:46 340000 340000
17:33:46 340000 340000
17:33:47 340000 340000
17:33:47 340000 340000
17:33:48 340000 340000
17:33:48 340000 340000
17:33:49 340000 340000
17:33:49 340000 340000
17:33:50 340000 340000
17:33:50 340000 340000
17:33:51 340000 340000
17:33:51 340000 340000
17:33:52 340000 340000
17:33:52 340000 340000
17:33:53 340000 340000
17:33:53 340000 340000
17:33:54 340000 340000
17:33:54 340000 340000
17:33:55 340000 340000
17:33:55 340000 340000
17:33:56 340000 340000
17:33:56 340000 340000
17:33:57 340000 340000
17:33:57 340000 340000
17:33:58 340000 340000
17:33:58 340000 340000
17:33:59 340000 340000
17:33:59 340000 340000
17:34:00 340000 340000
17:34:00 340000 340000
17:34:01 340000 340000
17:34:01 340000 340000
17:34:02 340000 340000
17:34:02 340000 340000
17:34:03 340000 340000
17:34:03 340000 340000
17:34:04 340000 340000
17:34:04 340000 340000
17:34:05 340000 340000
17:34:05 340000 340000
17:34:06 340000 340000
17:34:06 340000 340000
17:34:07 340000 340000
17:34:07 340000 340000
17:34:08 340000 340000
17:34:08 340000 340000
17:34:09 340000 340000
17:34:09 340000 340000
17:34:10 340000 340000
17:34:10 340000 340000
17:34:11 340000 340000
17:34:11 340000 340000
17:34:12 340000 340000
17:34:12 340000 340000
17:34:13 340000 340000
17:34:13 340000 340000
17:34:14 340000 340000
17:34:14 340000 340000
17:34:15 340000 340000
17:34:15 340000 340000
17:34:16 340000 340000
17:34:16 340000 340000
17:34:17 340000 340000
17:34:17 340000 340000
17:34:18 340000 340000
17:34:18 340000 340000
17:34:19 340000 340000
17:34:19 340000 340000
17:34:20 340000 340000
17:34:20 340000 340000
17:34:21 340000 340000
17:34:21 340000 340000
17:34:22 316963 0
17:34:22 267218 0
17:34:23 216747 0
17:34:24 166890 0
17:34:24 116822 0
17:34:25 66704 0
17:34:25 0 0
17:34:26 0 0
17:34:26 0 0
17:34:27 0 0
17:34:27 0 0
17:34:28 0 0
17:34:28 0 0
