TransCouple -> Vert
Date : 22-01-2016 17:32:01
Temps   Vitesse
17:32:02 0
17:32:02 0
17:32:03 0
17:32:03 0
17:32:04 0
17:32:04 0
17:32:05 0
17:32:05 0
17:32:06 0
17:32:06 0
17:32:07 0
17:32:07 0
17:32:08 0
17:32:08 0
17:32:09 0
17:32:09 0
17:32:10 0
17:32:10 0
17:32:11 0
17:32:11 0
17:32:12 0
17:32:12 0
17:32:13 0
17:32:13 0
17:32:14 0
17:32:14 0
17:32:15 0
17:32:15 0
17:32:16 0
17:32:16 0
17:32:17 0
17:32:17 81173
17:32:18 245009
17:32:18 266270
17:32:19 267378
17:32:19 268269
17:32:20 264131
17:32:20 265868
17:32:21 263503
17:32:21 260621
17:32:22 218121
17:32:22 111199
17:32:23 75766
17:32:23 65186
17:32:24 80247
17:32:24 80365
17:32:25 79382
17:32:25 94360
17:32:26 95844
17:32:26 116408
17:32:27 114802
17:32:27 135130
17:32:28 140553
17:32:28 134687
17:32:29 155277
17:32:29 156898
17:32:30 158631
17:32:30 157439
17:32:31 174247
17:32:31 182061
17:32:32 181970
17:32:32 189497
17:32:33 195965
17:32:33 196058
17:32:34 206936
17:32:34 212469
17:32:35 215172
17:32:35 229106
17:32:36 235061
17:32:36 238596
17:32:37 244405
17:32:37 243114
17:32:38 251082
17:32:38 257723
17:32:39 260355
17:32:39 259542
17:32:40 261041
17:32:40 265504
17:32:41 275397
17:32:41 288803
17:32:42 297557
17:32:42 303027
17:32:43 310650
17:32:43 317149
17:32:44 317944
17:32:44 325614
17:32:45 244399
17:32:45 236702
17:32:46 236610
17:32:46 236183
17:32:47 237507
17:32:47 239382
17:32:48 238966
17:32:48 238327
17:32:49 241668
17:32:49 243755
17:32:50 239987
17:32:50 237076
17:32:51 254368
17:32:51 285004
17:32:52 268823
17:32:52 290923
17:32:53 301134
17:32:53 298220
17:32:54 296290
17:32:54 297556
17:32:55 295315
17:32:55 298326
17:32:56 299915
17:32:56 301403
17:32:57 303482
17:32:57 300532
17:32:58 300815
17:32:58 298583
17:32:59 300418
17:32:59 301323
17:33:00 299630
17:33:00 302817
17:33:01 301612
17:33:01 301371
17:33:02 298204
17:33:02 294835
17:33:03 296830
17:33:03 295762
17:33:04 298646
17:33:04 298921
17:33:05 299389
17:33:05 297823
17:33:06 299567
17:33:06 298758
17:33:07 296950
17:33:07 301858
17:33:08 309848
17:33:08 301413
17:33:09 302149
17:33:09 300548
17:33:10 299989
17:33:10 299171
17:33:11 295466
17:33:11 297537
17:33:12 296253
17:33:12 297420
17:33:13 301898
17:33:13 301194
17:33:14 302954
17:33:14 311423
17:33:15 315659
17:33:15 315982
17:33:16 318682
17:33:16 318922
17:33:17 320430
17:33:17 322467
17:33:18 322644
17:33:18 321338
17:33:19 318227
17:33:19 315607
17:33:20 319154
17:33:20 318778
17:33:21 320788
17:33:21 321488
17:33:22 323348
17:33:22 320240
17:33:23 318587
17:33:23 317114
17:33:24 319595
17:33:24 320663
17:33:25 321769
17:33:25 325465
17:33:26 323924
17:33:26 320977
17:33:27 319810
17:33:27 318461
17:33:28 319021
17:33:28 317135
17:33:29 324336
17:33:29 323178
17:33:30 323368
17:33:30 318720
17:33:31 318901
17:33:31 315072
17:33:32 318649
17:33:32 317965
17:33:33 323721
17:33:33 322459
17:33:34 324084
17:33:34 320257
17:33:35 319712
17:33:35 316804
17:33:36 319753
17:33:36 321304
17:33:37 333826
17:33:37 339623
17:33:38 341199
17:33:38 339524
17:33:39 336889
17:33:39 337428
17:33:40 339181
17:33:40 338329
17:33:41 343476
17:33:41 342054
17:33:42 340975
17:33:42 340802
17:33:43 338097
17:33:43 339153
17:33:44 339052
17:33:44 341591
17:33:45 342100
17:33:45 343369
17:33:46 341024
17:33:46 337519
17:33:47 337410
17:33:47 339666
17:33:48 339571
17:33:48 342004
17:33:49 342004
17:33:49 341574
17:33:50 336925
17:33:50 339655
17:33:51 337473
17:33:51 336740
17:33:52 344583
17:33:52 340256
17:33:53 340883
17:33:53 344178
17:33:54 335011
17:33:54 337408
17:33:55 340470
17:33:55 337621
17:33:56 341964
17:33:56 344668
17:33:57 341892
17:33:57 337714
17:33:58 339585
17:33:58 337283
17:33:59 336952
17:33:59 343298
17:34:00 340939
17:34:00 343000
17:34:01 343286
17:34:01 336552
17:34:02 336467
17:34:02 339380
17:34:03 340176
17:34:03 340257
17:34:04 344448
17:34:04 343263
17:34:05 337916
17:34:05 338763
17:34:06 338575
17:34:06 337139
17:34:07 342814
17:34:07 342813
17:34:08 342487
17:34:08 343090
17:34:09 337955
17:34:09 338327
17:34:10 337677
17:34:10 340494
17:34:11 340668
17:34:11 342276
17:34:12 344295
17:34:12 337663
17:34:13 337497
17:34:13 337025
17:34:14 337196
17:34:14 340625
17:34:15 342362
17:34:15 342991
17:34:16 339884
17:34:16 340408
17:34:17 337248
17:34:17 335886
17:34:18 341407
17:34:18 339103
17:34:19 341945
17:34:19 344578
17:34:20 337344
17:34:21 337843
17:34:21 338045
17:34:21 337257
17:34:22 0
17:34:22 0
17:34:23 0
17:34:24 0
17:34:24 0
17:34:25 0
17:34:25 0
17:34:26 0
17:34:26 0
17:34:27 0
17:34:27 0
17:34:28 0
17:34:28 0
