TransVit -> Vert
Date : 22-01-2016 17:26:02
Temps   Vitesse
17:26:03 0 0
17:26:03 0 0
17:26:04 0 0
17:26:04 0 0
17:26:05 0 0
17:26:05 0 0
17:26:06 0 0
17:26:06 0 0
17:26:07 0 0
17:26:07 0 0
17:26:08 0 0
17:26:08 0 0
17:26:09 0 0
17:26:09 0 0
17:26:10 0 0
17:26:10 0 0
17:26:11 0 0
17:26:11 0 0
17:26:12 0 0
17:26:12 0 0
17:26:13 0 0
17:26:13 0 0
17:26:14 0 0
17:26:14 0 0
17:26:15 0 0
17:26:15 0 0
17:26:16 0 0
17:26:16 0 0
17:26:17 0 0
17:26:17 0 0
17:26:18 0 0
17:26:18 0 0
17:26:19 0 0
17:26:19 0 0
17:26:20 0 0
17:26:20 0 0
17:26:21 0 0
17:26:21 0 0
17:26:22 0 0
17:26:22 0 0
17:26:23 0 0
17:26:23 0 0
17:26:24 0 0
17:26:24 0 0
17:26:25 0 0
17:26:25 0 0
17:26:26 0 0
17:26:26 0 0
17:26:27 0 0
17:26:27 0 0
17:26:28 0 0
17:26:28 0 0
17:26:29 0 0
17:26:29 0 0
17:26:30 0 0
17:26:30 0 0
17:26:31 0 0
17:26:31 0 0
17:26:32 0 0
17:26:32 0 0
17:26:33 0 0
17:26:33 0 0
17:26:34 0 0
17:26:34 0 0
17:26:35 0 0
17:26:35 0 0
17:26:36 0 0
17:26:36 0 0
17:26:37 0 0
17:26:37 0 0
17:26:38 0 0
17:26:38 0 0
17:26:39 0 0
17:26:39 0 0
17:26:40 0 0
17:26:40 0 0
17:26:41 0 0
17:26:41 20000 20000
17:26:42 20000 20000
17:26:42 25209 40000
17:26:43 40000 40000
17:26:43 40000 60000
17:26:44 45056 60000
17:26:44 60000 80000
17:26:45 65174 80000
17:26:45 80000 80000
17:26:46 80000 80000
17:26:46 86205 100000
17:26:47 100000 100000
17:26:47 106138 120000
17:26:48 120000 120000
17:26:48 120000 120000
17:26:49 126209 140000
17:26:49 140000 160000
17:26:50 146357 160000
17:26:50 160000 160000
17:26:51 160000 160000
17:26:51 166501 180000
17:26:52 180000 180000
17:26:52 180000 180000
17:26:53 186796 200000
17:26:53 200000 200000
17:26:54 206673 220000
17:26:54 220000 220000
17:26:55 220000 220000
17:26:55 220000 220000
17:26:56 227001 240000
17:26:56 240000 240000
17:26:57 246751 260000
17:26:57 260000 260000
17:26:58 266754 280000
17:26:58 280000 280000
17:26:59 287438 300000
17:26:59 300000 300000
17:27:00 300000 320000
17:27:00 307835 320000
17:27:01 320000 320000
17:27:01 320000 320000
17:27:02 320000 320000
17:27:02 320000 320000
17:27:03 320000 320000
17:27:03 328114 340000
17:27:04 340000 340000
17:27:04 340000 340000
17:27:05 340000 340000
17:27:05 340000 340000
17:27:06 340000 340000
17:27:06 340000 340000
17:27:07 340000 340000
17:27:07 340000 340000
17:27:08 340000 340000
17:27:08 340000 340000
17:27:09 340000 340000
17:27:09 340000 340000
17:27:10 349272 360000
17:27:10 360000 360000
17:27:11 360000 360000
17:27:11 360000 360000
17:27:12 360000 360000
17:27:12 360000 360000
17:27:13 350270 340000
17:27:13 340000 340000
17:27:14 340000 340000
17:27:14 340000 340000
17:27:15 340000 340000
17:27:15 340000 320000
17:27:16 329939 320000
17:27:16 320000 320000
17:27:17 320000 320000
17:27:17 320000 320000
17:27:18 320000 320000
17:27:18 320000 320000
17:27:19 320000 320000
17:27:19 320000 320000
17:27:20 320000 320000
17:27:20 320000 320000
17:27:21 320000 320000
17:27:21 320000 340000
17:27:22 330909 340000
17:27:22 340000 340000
17:27:23 340000 340000
17:27:23 340000 340000
17:27:24 340000 340000
17:27:24 340000 340000
17:27:25 340000 340000
17:27:25 340000 320000
17:27:26 328354 320000
17:27:26 320000 320000
17:27:27 320000 320000
17:27:27 320000 320000
17:27:28 320000 320000
17:27:28 320000 320000
17:27:29 320000 320000
