TransVit -> Vert
Date : 22-01-2016 17:39:27
Temps   Vitesse
17:39:27 0 0
17:39:28 0 0
17:39:28 0 0
17:39:29 0 0
17:39:29 0 0
17:39:30 0 0
17:39:30 0 0
17:39:31 0 0
17:39:31 0 0
17:39:32 0 0
17:39:32 0 0
17:39:33 0 0
17:39:33 0 0
17:39:34 0 0
17:39:34 0 0
17:39:35 0 0
17:39:35 0 0
17:39:36 0 0
17:39:36 0 0
17:39:37 0 0
17:39:37 0 0
17:39:38 0 0
17:39:38 0 0
17:39:39 0 0
17:39:39 0 0
17:39:40 0 0
17:39:40 0 0
17:39:41 0 0
17:39:41 0 0
17:39:42 0 0
17:39:42 0 0
17:39:43 0 0
17:39:43 0 0
17:39:44 0 0
17:39:44 0 0
17:39:45 0 0
17:39:45 0 0
17:39:46 0 0
17:39:46 0 0
17:39:47 0 0
17:39:47 0 0
17:39:48 0 0
17:39:48 0 0
17:39:49 20000 20000
17:39:49 20000 20000
17:39:50 23559 40000
17:39:50 40000 40000
17:39:51 40000 40000
17:39:51 43798 60000
17:39:52 60000 60000
17:39:52 60000 60000
17:39:53 63987 80000
17:39:53 80000 80000
17:39:54 80000 80000
17:39:54 84258 100000
17:39:55 100000 100000
17:39:55 100000 100000
17:39:56 104685 120000
17:39:56 120000 120000
17:39:57 120000 120000
17:39:57 124713 140000
17:39:58 140000 140000
17:39:58 144475 160000
17:39:59 160000 160000
17:39:59 160000 160000
17:40:00 165229 180000
17:40:00 180000 180000
17:40:01 180000 180000
17:40:01 185523 200000
17:40:02 200000 200000
17:40:02 205703 220000
17:40:03 220000 220000
17:40:03 220000 220000
17:40:04 220000 220000
17:40:04 220000 220000
17:40:05 220000 220000
17:40:05 225623 240000
17:40:06 240000 240000
17:40:06 240000 240000
17:40:07 240000 240000
17:40:07 240000 240000
17:40:08 240000 240000
17:40:08 240000 240000
17:40:09 240000 240000
17:40:09 240000 240000
17:40:10 246473 260000
17:40:10 260000 260000
17:40:11 260000 260000
17:40:11 260000 260000
17:40:12 260000 260000
17:40:12 260000 260000
17:40:13 260000 260000
17:40:13 260000 260000
17:40:14 260000 260000
17:40:14 260000 260000
17:40:15 260000 260000
17:40:15 260000 260000
17:40:16 260000 260000
17:40:16 260000 260000
17:40:17 260000 260000
17:40:17 260000 260000
17:40:18 260000 260000
17:40:18 268075 280000
